date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:23	278557/278557	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/about-us/igenius.ai	F:/Downloads/igenius/igenius.ai/about-us/igenius.html	(from https://igenius.ai/about-us/)
23:14:23	115856/115856	---M--	200	added ('OK')	image/jpeg	etag:%222006158213f6fad20ecbba5de99ca2ed%22	https://igenius.ai/people/uljan.jpg	F:/Downloads/igenius/igenius.ai/people/uljan.jpg	(from https://igenius.ai/about-us/)
23:14:23	151793/151793	---M--	200	added ('OK')	image/jpeg	etag:%229a402651acfe48acba07456282c72f74%22	https://igenius.ai/people/michele.jpg	F:/Downloads/igenius/igenius.ai/people/michele.jpg	(from https://igenius.ai/about-us/)
23:14:23	76721/76721	---M--	200	added ('OK')	image/jpeg	etag:%2203e663eb631eee70b03418450a0fefda%22	https://igenius.ai/people/shy.jpg	F:/Downloads/igenius/igenius.ai/people/shy.jpg	(from https://igenius.ai/about-us/)
23:14:24	222274/222274	---M--	200	added ('OK')	image/jpeg	etag:%2204cda561c4164008beeece876f75f319%22	https://igenius.ai/people/daria.jpg	F:/Downloads/igenius/igenius.ai/people/daria.jpg	(from https://igenius.ai/about-us/)
23:14:24	310102/310102	---M--	200	added ('OK')	image/jpeg	etag:%22b4a1b1447fcd4e53dc9114becf08fa6e%22	https://igenius.ai/people/marco.jpg	F:/Downloads/igenius/igenius.ai/people/marco.jpg	(from https://igenius.ai/about-us/)
23:14:24	106170/106170	---M--	200	added ('OK')	image/jpeg	etag:%22caf47e043e8470a6c51d4bc76ddda68d%22	https://igenius.ai/people/micaela.jpg	F:/Downloads/igenius/igenius.ai/people/micaela.jpg	(from https://igenius.ai/about-us/)
23:14:24	420998/420998	---M--	200	added ('OK')	image/jpeg	etag:%225fb293b885095df48f0f6739685f9dba%22	https://igenius.ai/people/clifford.jpg	F:/Downloads/igenius/igenius.ai/people/clifford.jpg	(from https://igenius.ai/about-us/)
23:14:25	431947/431947	---M--	200	added ('OK')	image/jpeg	etag:%222413a56e19edced93ce583ff3decee08%22	https://igenius.ai/people/eugenio.jpg	F:/Downloads/igenius/igenius.ai/people/eugenio.jpg	(from https://igenius.ai/about-us/)
23:14:25	83769/83769	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-pages-milestones-index-js-df8f3d9b473756cd97ac.js	F:/Downloads/igenius/igenius.ai/component---src-pages-milestones-index-js-df8f3d9b473756cd97ac.js	(from https://igenius.ai/milestones/)
23:14:25	146/146	---M--	200	added ('OK')	application/javascript	etag:%22eae577376085fa38942efb9d40d4b1d5%22	https://igenius.ai/path---milestones-a0e39f21c11f6a62c5ab.js	F:/Downloads/igenius/igenius.ai/path---milestones-a0e39f21c11f6a62c5ab.js	(from https://igenius.ai/milestones/)
23:14:25	278557/278557	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202020%2014:38:07%20GMT	https://igenius.ai/milestones/igenius.ai	F:/Downloads/igenius/igenius.ai/milestones/igenius.html	(from https://igenius.ai/milestones/)
23:14:26	59952/59952	---M--	200	added ('OK')	image/png	etag:%2260ad1915f54a754ba39a10ceffa64430%22	https://igenius.ai/static/indentation.60ad1915.png	F:/Downloads/igenius/igenius.ai/static/indentation.60ad1915.png	(from https://igenius.ai/milestones/)
23:14:26	15618/15618	---M--	200	added ('OK')	image/png	etag:%22d8fac8a976e08990d999d2656042a325%22	https://igenius.ai/static/home.d8fac8a9.png	F:/Downloads/igenius/igenius.ai/static/home.d8fac8a9.png	(from https://igenius.ai/milestones/)
23:14:26	13261/13261	---M--	200	added ('OK')	image/png	etag:%222bb27d94af34f647f72fd8fe31d23c7f%22	https://igenius.ai/static/ramen.2bb27d94.png	F:/Downloads/igenius/igenius.ai/static/ramen.2bb27d94.png	(from https://igenius.ai/milestones/)
23:14:26	336720/336720	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Feb%202020%2014:38:08%20GMT	https://igenius.ai/component---src-pages-people-index-js-18148b7e9ff5f47b92a8.js	F:/Downloads/igenius/igenius.ai/component---src-pages-people-index-js-18148b7e9ff5f47b92a8.js	(from https://igenius.ai/people/)
